,0
fmt_ACH,17132.2033203125
fmt_Cheque,3505.9015625
fmt_Credit Card,3142.107666015625
fx_ratio,2099.4122802734373
self_loop,1688.8074951171875
curr_mismatch,1381.6199462890625
fmt_Cash,942.80595703125
so_dt,896.73271484375
dow,895.6292358398438
fmt_Wire,776.4283325195313
so_cnt_3d,699.6163330078125
so_new_7d,658.7348876953125
amt_vs_so_1d,632.8517395019531
so_cnt_7d,632.6321655273438
so_new_3d,580.7633087158204
so_cnt_1d,530.6491882324219
fmt_Bitcoin,441.1342407226563
si_new_7d,362.01853942871094
log_amt,273.3953430175781
so_new_1d,265.5325897216797
ri_dt,258.38319396972656
ri_new_7d,255.670068359375
ri_new_3d,251.64951171875
same_bank,246.44767150878906
ri_new_1d,215.34935302734374
newshare_so_7d,200.85223541259765
newshare_ri_7d,195.15895385742186
amt_vs_so_3d,193.30860748291016
amt_vs_ri_3d,192.58629150390624
newshare_so_1d,187.68280639648438
